term,count,recommended_action,korean
Battle,384,keep_or_define,
Adventurer,372,keep_or_define,
Party,310,keep_or_define,
Enemy,283,keep_or_define,
encounter,272,keep_or_define,
Dice,271,keep_or_define,
Skill,242,keep_or_define,
Quest,220,keep_or_define,
Card,200,keep_or_define,
during,186,keep_or_define,
Second,185,keep_or_define,
Elder Scrolls,168,keep_or_define,
ability,157,keep_or_define,
Adventurers,151,keep_or_define,
Second Era,148,keep_or_define,
Delve,144,keep_or_define,
XP,141,keep_or_define,
Item,140,keep_or_define,
Abilities,139,keep_or_define,
Damage,133,keep_or_define,
Town,133,keep_or_define,
Session,131,keep_or_define,
HP,129,keep_or_define,
Other,128,keep_or_define,
Overland,124,keep_or_define,
Level,124,keep_or_define,
Cooldown,120,keep_or_define,
Enemies,119,keep_or_define,
Guild,113,keep_or_define,
action,112,keep_or_define,
Chips,109,keep_or_define,
Units,109,keep_or_define,
Shannon,107,keep_or_define,
number,102,keep_or_define,
Tenacity,97,keep_or_define,
Move,96,keep_or_define,
First,94,keep_or_define,
Class,93,keep_or_define,
Side,92,keep_or_define,
resolve,90,keep_or_define,
Engage,88,keep_or_define,
Cooldown Track,87,keep_or_define,
Campaign,85,keep_or_define,
Check,84,keep_or_define,
example,83,keep_or_define,
Fatigue,82,keep_or_define,
Players,82,keep_or_define,
Only,78,keep_or_define,
Clash,77,keep_or_define,
province,76,keep_or_define,
choose,76,keep_or_define,
Additional,75,keep_or_define,
Trigger,72,keep_or_define,
Battle Form,70,keep_or_define,
Combat,67,keep_or_define,
effect,67,keep_or_define,
Next,67,keep_or_define,
EP,66,keep_or_define,
defeated,64,keep_or_define,
actions,64,keep_or_define,
Active,62,keep_or_define,
Tokens,62,keep_or_define,
Roll,61,keep_or_define,
Skill Dice,60,keep_or_define,
Until,60,keep_or_define,
Quests,59,keep_or_define,
Encounters,58,keep_or_define,
companion,58,keep_or_define,
Order,58,keep_or_define,
Range,58,keep_or_define,
starting,56,keep_or_define,
Deploy,56,keep_or_define,
Effects,54,keep_or_define,
Items,54,keep_or_define,
Ryan,54,keep_or_define,
objective,53,keep_or_define,
Lockpick,53,keep_or_define,
results,53,keep_or_define,
Skills,53,keep_or_define,
Take,53,keep_or_define,
diagram,52,keep_or_define,
Unless,52,keep_or_define,
attribute,49,keep_or_define,
Dungeon,49,keep_or_define,
Instead,49,keep_or_define,
Endgame,47,keep_or_define,
choice,47,keep_or_define,
Text,47,keep_or_define,
reference,46,keep_or_define,
movement,46,keep_or_define,
Status,46,keep_or_define,
target,46,keep_or_define,
Otherwise,45,keep_or_define,
Follow,45,keep_or_define,
Both,45,keep_or_define,
Specific,44,keep_or_define,
Either,44,keep_or_define,
Exploration,43,keep_or_define,
gazetteer,43,keep_or_define,
Bandit,42,keep_or_define,
before,42,keep_or_define,
Ready,42,keep_or_define,
Discard,41,keep_or_define,
Magicka,41,keep_or_define,
Stamina,41,keep_or_define,
Enemy Pool,40,keep_or_define,
player,40,keep_or_define,
increase,39,keep_or_define,
Journal,39,keep_or_define,
Skyshards,38,keep_or_define,
resolving,38,keep_or_define,
Remove,38,keep_or_define,
reward,38,keep_or_define,
Adjacent,37,keep_or_define,
entrance,37,keep_or_define,
special,37,keep_or_define,
Trap,37,keep_or_define,
Dial,36,keep_or_define,
Entrance Tile,35,keep_or_define,
timing,34,keep_or_define,
Common,33,keep_or_define,
Refer,33,keep_or_define,
Overland Map,32,keep_or_define,
Revealed,32,keep_or_define,
Tamriel,32,keep_or_define,
Health,32,keep_or_define,
Shield,32,keep_or_define,
